wav_filename,wav_filesize,transcript
common_voice_zh-TW_18500863.wav,107564,在黑暗中進行
common_voice_zh-TW_21937738.wav,227372,將條碼印在塑膠卡上的服務
common_voice_zh-TW_22288475.wav,130604,常常拿著這份文件
common_voice_zh-TW_19235245.wav,88364,謝謝主席的說明
common_voice_zh-TW_21956618.wav,89900,提出申請
common_voice_zh-TW_19078405.wav,126764,妳現在好漂亮
common_voice_zh-TW_22418201.wav,125996,雖然我沒有辦法
common_voice_zh-TW_17452147.wav,82988,叫做天佑花蓮
common_voice_zh-TW_17636629.wav,144428,他需要是自己決定要去哪裡
common_voice_zh-TW_18386149.wav,109868,不然肯定骨折
common_voice_zh-TW_17850420.wav,157484,報名費太貴了
common_voice_zh-TW_22427013.wav,117548,對於東海及南海問題
common_voice_zh-TW_18501417.wav,84524,他們聚在一起
common_voice_zh-TW_22301428.wav,142124,所以做這項調查
common_voice_zh-TW_22240079.wav,131372,也會將使用者資料作為產品
common_voice_zh-TW_17535718.wav,118316,再用補助
common_voice_zh-TW_18501281.wav,88364,我曾經擁有過
common_voice_zh-TW_17585443.wav,122924,講座間禁止錄音錄影
common_voice_zh-TW_20538084.wav,106028,這類民間自發的服務
common_voice_zh-TW_21940851.wav,118316,讓投入新創事業的朋友
common_voice_zh-TW_19062533.wav,98348,新北市板橋區
common_voice_zh-TW_21960292.wav,132908,不當應用於非經授權之範圍
common_voice_zh-TW_18130571.wav,73004,不做又不行
common_voice_zh-TW_18822085.wav,96044,你慢慢看
common_voice_zh-TW_21319719.wav,134444,但互相磨合、推擠的過程
common_voice_zh-TW_22260721.wav,159788,將在許多民間團體的協助下
common_voice_zh-TW_21961963.wav,142892,表達的意見未經深思熟慮
common_voice_zh-TW_17477681.wav,88364,繞回公車站
common_voice_zh-TW_21956210.wav,149804,我也因此走遍世界各地
common_voice_zh-TW_19356566.wav,161324,漢字順序不影響閱讀
common_voice_zh-TW_22261030.wav,129068,裡面並沒有什麼追蹤器
common_voice_zh-TW_20125796.wav,195884,進去應該也看得到這裡才對
common_voice_zh-TW_18501371.wav,121388,留職停薪復職者
common_voice_zh-TW_21944120.wav,165164,單純閱讀訊息無中毒風險
common_voice_zh-TW_17580966.wav,157484,畢竟他們是借住在別人屋簷之下
common_voice_zh-TW_19235263.wav,122924,所以老師傅變成了顧問的角色
common_voice_zh-TW_18500712.wav,49964,勞動底層
common_voice_zh-TW_18667959.wav,149804,在報告書中加以說明
common_voice_zh-TW_22400697.wav,129068,利益共享原則
common_voice_zh-TW_17514058.wav,56108,妳回來了
common_voice_zh-TW_18645747.wav,94508,昨日回報
common_voice_zh-TW_18534824.wav,92204,有若干事項需要討論
common_voice_zh-TW_22432469.wav,94508,感謝人民對我們的信任
common_voice_zh-TW_19305708.wav,140588,也歡迎你加入熱心人行列
common_voice_zh-TW_21439823.wav,102188,公視跟華視的中午新聞
common_voice_zh-TW_22396096.wav,154688,五大創新研發計畫
common_voice_zh-TW_18668060.wav,188204,從第一座開始慢慢努力
common_voice_zh-TW_20401042.wav,198188,我覺得是貓眼
common_voice_zh-TW_20961120.wav,207404,造就台灣地表下遍佈斷層帶
common_voice_zh-TW_20894998.wav,134444,說明增加信託費用的合理性
common_voice_zh-TW_18485296.wav,145964,現在提出二零五零的計畫
common_voice_zh-TW_17866927.wav,142124,其他人看到你
common_voice_zh-TW_18349875.wav,115244,最簡單的方式就是
common_voice_zh-TW_21951294.wav,109100,沒有影片來源
common_voice_zh-TW_21997502.wav,220460,不要問為什麼沒有人做這個
common_voice_zh-TW_17470940.wav,85292,中午都逛完了才找到
common_voice_zh-TW_18501892.wav,136748,我沒有想過
common_voice_zh-TW_22274457.wav,106028,多要點籌碼
common_voice_zh-TW_17534956.wav,61484,待會去吃冰
common_voice_zh-TW_21186054.wav,202028,花生醬配烤吐司是早晨醒腦的好幫手
common_voice_zh-TW_21186055.wav,111404,我期待這是一個起點
common_voice_zh-TW_17377090.wav,169772,最後還說謝謝大家的配合
common_voice_zh-TW_17377086.wav,308012,小的果然太弱
common_voice_zh-TW_17581112.wav,96812,一直到了前兩天
common_voice_zh-TW_22128057.wav,111404,現在的小學生還需要背課文嗎？
common_voice_zh-TW_18456867.wav,96044,修理好會再出來
common_voice_zh-TW_17581114.wav,101420,不料好景不常
common_voice_zh-TW_18456869.wav,126764,近三年離職率一直在降
common_voice_zh-TW_18385556.wav,156716,黃土水畢業自師範科
common_voice_zh-TW_20482789.wav,106028,要這樣做的原因
common_voice_zh-TW_20482793.wav,80684,第一次點廣東粥
common_voice_zh-TW_17589393.wav,116012,我們就沒辦法改善
common_voice_zh-TW_21051747.wav,166700,每當平台有提案出現
common_voice_zh-TW_17589395.wav,147500,純粹休息，時間一到就出發！
common_voice_zh-TW_21051751.wav,187436,並授權給搜尋引擎使用
common_voice_zh-TW_22310057.wav,123760,沒附連結的影片不會有病毒
common_voice_zh-TW_22309950.wav,93666,中國評論通訊社
common_voice_zh-TW_17467393.wav,113708,難道以後我出門
common_voice_zh-TW_17897481.wav,107564,這就叫人為因素操作不當
common_voice_zh-TW_17467398.wav,98348,面對迷惘時重要的課題
common_voice_zh-TW_18501335.wav,79148,傻啊，擔心什麼？
common_voice_zh-TW_18501400.wav,186668,請出示身份證或學生證
common_voice_zh-TW_21290612.wav,198188,喜歡好好用型別來描述結構
common_voice_zh-TW_21290614.wav,115244,使用鮮奶的奶茶
common_voice_zh-TW_17897478.wav,115244,看見台灣近代美術的啟蒙
common_voice_zh-TW_18501403.wav,84524,柿子也不錯
common_voice_zh-TW_19063338.wav,168236,最重要的是必須決定步驟
common_voice_zh-TW_19063337.wav,146732,明定法源依據
common_voice_zh-TW_22279693.wav,122924,即宣示有共識的部分
common_voice_zh-TW_22279717.wav,163628,穩定供水一直是臺灣面臨的挑戰
common_voice_zh-TW_21973832.wav,126764,影片之重製物
common_voice_zh-TW_21938136.wav,164396,籌備會之階段應儘速決定議題
common_voice_zh-TW_21973820.wav,180524,這只是一則文字訊息
common_voice_zh-TW_21938134.wav,138284,中央廣播電台音樂網
common_voice_zh-TW_17390133.wav,112172,差異並沒有大到你想像的那樣
common_voice_zh-TW_17889175.wav,94508,先在遊客中心休息
common_voice_zh-TW_17520973.wav,146732,是金牌熊讚還是海洋熊讚
common_voice_zh-TW_17390132.wav,87596,下次給我注意一點！
common_voice_zh-TW_20767878.wav,153644,屈臣氏真的是這招的高手
common_voice_zh-TW_17520974.wav,110636,我已經找你們找了好久
common_voice_zh-TW_20767877.wav,102188,習慣自由的世代
common_voice_zh-TW_18500775.wav,236588,藍蔭鼎出生於宜蘭羅東
common_voice_zh-TW_18500777.wav,117548,好好的來檢查你的身體
common_voice_zh-TW_17889174.wav,98348,一棟房不過十二三萬
common_voice_zh-TW_17931796.wav,63788,以為雨下很大
common_voice_zh-TW_19145083.wav,120620,好野人和寒門子弟是有分別的
common_voice_zh-TW_17931799.wav,65324,我再查查看
common_voice_zh-TW_18501389.wav,102188,回家後才開始煮飯
common_voice_zh-TW_19305850.wav,63788,已有完整的保存
common_voice_zh-TW_19305853.wav,92204,需要的話就抓吧
common_voice_zh-TW_19145084.wav,123692,當我看到攝影棚有這個功用時
common_voice_zh-TW_22185825.wav,145196,每月每坪八百元的依據
common_voice_zh-TW_20877725.wav,211244,你的屁股辣不辣
common_voice_zh-TW_20877728.wav,240428,並不是指記者和媒體從業人員的素養
common_voice_zh-TW_17479006.wav,94508,正巧母親往外探頭
common_voice_zh-TW_17479002.wav,126764,看到有摩斯
common_voice_zh-TW_21961124.wav,139820,今天參加邪教聚會
common_voice_zh-TW_18501388.wav,88364,我在找飲水機
common_voice_zh-TW_18501758.wav,163628,開到站有位子坐
common_voice_zh-TW_19112363.wav,152876,參加會議的人是一百二十人
common_voice_zh-TW_19112380.wav,149804,過程中皆須全部使用其設備
common_voice_zh-TW_18500761.wav,111404,也許是因為後悔
common_voice_zh-TW_18501762.wav,86828,我沒辦法相信你
common_voice_zh-TW_22185822.wav,110636,品質不錯
common_voice_zh-TW_17489605.wav,109868,在病床上劇烈扭曲著
common_voice_zh-TW_18500760.wav,103724,你是什麼人
common_voice_zh-TW_17489604.wav,125228,返校日真的拍得很有趣
common_voice_zh-TW_17580925.wav,88364,注意這個領域
common_voice_zh-TW_17891468.wav,109868,懷裡的寶貝孫女
common_voice_zh-TW_21926545.wav,115244,這期間找過很多場所
common_voice_zh-TW_21926544.wav,99884,今天也提出一份
common_voice_zh-TW_17891470.wav,129068,我一個人住在這
common_voice_zh-TW_17580927.wav,86828,烏賊絲很好吃
common_voice_zh-TW_22246066.wav,177452,於是要是你在你的專案裡
common_voice_zh-TW_20320205.wav,127532,本來沒辦法去介入這一塊
common_voice_zh-TW_22246064.wav,158252,也有個幾十萬跑不掉吧
common_voice_zh-TW_21961225.wav,168236,歡迎大家多多救濟
common_voice_zh-TW_17417515.wav,125228,沒有發生發不動的問題
common_voice_zh-TW_18025988.wav,106796,被有心人士從外部連線
common_voice_zh-TW_20320209.wav,82220,說已經加入
common_voice_zh-TW_17417517.wav,88364,嘗試了無數次
common_voice_zh-TW_17417449.wav,76844,我現在才知道
common_voice_zh-TW_19053926.wav,132908,申請開業登記
common_voice_zh-TW_17417211.wav,169004,妳趕快回來
common_voice_zh-TW_17512560.wav,56108,你要怎麼知道
common_voice_zh-TW_21946123.wav,148268,參與者也可以看到不同意見者
common_voice_zh-TW_18025986.wav,126764,昨晚教的新舞步配樂
common_voice_zh-TW_21752862.wav,152108,可能只是自己一時沖昏頭
common_voice_zh-TW_21752861.wav,136748,都是每個人的
